ID;REGIAO;MUNICIPIO/BAIRRO;OPM ;RISP;AISP;COORPIN
290370;Interior;Boa Nova;55ª CIPM - Ipiaú;Sudoeste;Médio Rio de Contas;10ª COORPIN - VITORIA DA CONQUISTA
290380;Interior;Boa Vista Do Tupim;11º BPM - Itaberaba;Chapada;Piemonte do Paraguaçu;12ª COORPIN - ITABERABA
290390;Interior;Bom Jesus Da Lapa;38ª CIPM - Bom Jesus da Lapa;Meio-Oeste;Velho Chico;24ª COORPIN - BOM JESUS DA LAPA
290395;Interior;Bom Jesus Da Serra;79ª CIPM - Poções;Sudoeste;Sudoeste Baiano;10ª COORPIN - VITORIA DA CONQUISTA
290400;Interior;Boninal;29ª CIPM - Seabra;Chapada;Chapada Diamantina;13ª COORPIN - SEABRA
290405;Interior;Bonito;7º BPM - Irecê;Meio-Oeste;Irecê;14ª COORPIN - IRECE
290410;Interior;Boquira;4ª CIPM - Macaúbas;Meio-Oeste;Bacia do Paramirim;24ª COORPIN - BOM JESUS DA LAPA
290420;Interior;Botuporã;4ª CIPM - Macaúbas;Meio-Oeste;Bacia do Paramirim;20ª COORPIN - BRUMADO
290430;Interior;Brejões;99ª CIPM - Amargosa;Recôncavo;Vale do Jiquiriçá;9ª COORPIN - JEQUIE
290440;Interior;Brejolândia;30ª CIPM - Santa Maria da Vitória;Oeste;Bacia do Rio Corrente;24ª COORPIN - BOM JESUS DA LAPA
290450;Interior;Brotas De Macaúbas;28ª CIPM - Ibotirama;Meio-Oeste;Velho Chico;13ª COORPIN - SEABRA
290460;Interior;Brumado;24º BPM - Brumado;Sudoeste;Sertão Produtivo;20ª COORPIN - BRUMADO
290470;Interior;Buerarema;15º BPM - Itabuna;Sul;Litoral Sul;6ª COORPIN - ITABUNA
290475;Interior;Buritirama;86ª CIPM - Formosa do Rio Preto;Oeste;Bacia do Rio Grande;24ª COORPIN - BOM JESUS DA LAPA
290480;Interior;Caatiba;8ª CIPM - Itapetinga;Sul;Médio Sudoeste da Bahia;21ª COORPIN - ITAPETINGA
290485;Interior;Cabaceiras Do Paraguaçu;27ª CIPM - Cruz das Almas;Recôncavo;Recôncavo;4ª COORPIN - SANTO ANTONIO DE JESUS
290490;Interior;Cachoeira;20ª CIPM - Santo Amaro;Recôncavo;Recôncavo;4ª COORPIN - SANTO ANTONIO DE JESUS
290500;Interior;Caculé;94ª CIPM - Caetité;Sudoeste;Sertão Produtivo;22ª COORPIN - GUANAMBI
290510;Interior;Caém;24ª CIPM - Jacobina;Chapada;Piemonte da Diamantina;16ª COORPIN - JACOBINA
290515;Interior;Caetanos;79ª CIPM - Poções;Sudoeste;Sudoeste Baiano;10ª COORPIN - VITORIA DA CONQUISTA
290520;Interior;Caetité;94ª CIPM - Caetité;Sudoeste;Sertão Produtivo;22ª COORPIN - GUANAMBI
290530;Interior;Cafarnaum;7º BPM - Irecê;Meio-Oeste;Irecê;14ª COORPIN - IRECE
290540;Interior;Cairu;33ª CIPM - Valença;Recôncavo;Baixo Sul;5ª COORPIN - VALENÇA
290550;Interior;Caldeirão Grande;6º BPM - Senhor do Bonfim;Norte;Piemonte Norte do Itapicuru;16ª COORPIN - JACOBINA
290560;Interior;Camacan;62ª CIPM - Camacan;Sul;Litoral Sul;6ª COORPIN - ITABUNA
290570;RMS;Camaçari;12º BPM - Camaçari;RMS;22 - Camaçari;18ª DT - Camaçari
290580;Interior;Camamu;33ª CIPM - Valença;Recôncavo;Baixo Sul;5ª COORPIN - VALENÇA
290590;Interior;Campo Alegre De Lourdes;25ª CIPM - Casa Nova;Norte;Sertão do São Francisco;17ª COORPIN - JUAZEIRO
290600;Interior;Campo Formoso;54ª CIPM - Campo Formoso;Norte;Piemonte Norte do Itapicuru;19ª COORPIN - SENHOR DO BONFIM
290610;Interior;Canápolis;30ª CIPM - Santa Maria da Vitória;Oeste;Bacia do Rio Corrente;26ª COORPIN - SANTA MARIA DA VITORIA
290620;Interior;Canarana;7º BPM - Irecê;Meio-Oeste;Irecê;14ª COORPIN - IRECE
290630;Interior;Canavieiras;71ª CIPM - Canavieiras;Sul;Litoral Sul;7ª COORPIN - ILHEUS
290640;Interior;Candeal;16º BPM - Serrinha;Nordeste;Sisal;15ª COORPIN - SERRINHA
290650;RMS;Candeias;10ª CIPM - Candeias;RMS;26 - Candeias;20ª DT Candeias
290660;Interior;Candiba;17º BPM - Guanambi;Sudoeste;Sertão Produtivo;22ª COORPIN - GUANAMBI
290670;Interior;Cândido Sales;80ª CIPM - Cândido Sales;Sudoeste;Sudoeste Baiano;10ª COORPIN - VITORIA DA CONQUISTA
290680;Interior;Cansanção;16º BPM - Serrinha;Nordeste;Sisal;19ª COORPIN - SENHOR DO BONFIM
290682;Interior;Canudos;45ª CIPM - Curaçá;Norte;Sertão do São Francisco;25ª COORPIN - EUCLIDES DA CUNHA
290685;Interior;Capela Do Alto Alegre;90ª CIPM - Riachão do Jacuípe;Chapada;Bacia do Jacuípe;15ª COORPIN - SERRINHA
290687;Interior;Capim Grosso;91ª CIPM - Capim Grosso;Chapada;Bacia do Jacuípe;16ª COORPIN - JACOBINA
290689;Interior;Caraíbas;79ª CIPM - Poções;Sudoeste;Sudoeste Baiano;10ª COORPIN - VITORIA DA CONQUISTA
290690;Interior;Caravelas;88ª CIPM - Alcobaça;Extremo Sul;Extremo Sul;8ª COORPIN - TEIXEIRA DE FREITAS
290700;Interior;Cardeal Da Silva;56ª CIPM - Entre Rios;Leste;Litoral Norte Agreste Baiano;2ª COORPIN - ALAGOINHAS
290710;Interior;Carinhanha;38ª CIPM - Bom Jesus da Lapa;Meio-Oeste;Velho Chico;22ª COORPIN - GUANAMBI
290720;Interior;Casa Nova;25ª CIPM - Casa Nova;Norte;Sertão do São Francisco;17ª COORPIN - JUAZEIRO
290730;Interior;Castro Alves;27ª CIPM - Cruz das Almas;Recôncavo;Recôncavo;4ª COORPIN - SANTO ANTONIO DE JESUS
290740;Interior;Catolândia;83ª CIPM - Barreiras;Oeste;Bacia do Rio Grande;11ª COORPIN - BARREIRAS
290750;Interior;Catu;95ª CIPM - Catu;Leste;Litoral Norte Agreste Baiano;2ª COORPIN - ALAGOINHAS
290755;Interior;Caturama;4ª CIPM - Macaúbas;Meio-Oeste;Bacia do Paramirim;20ª COORPIN - BRUMADO
290760;Interior;Central;7º BPM - Irecê;Meio-Oeste;Irecê;14ª COORPIN - IRECE
290770;Interior;Chorrochó;20º BPM - Paulo Afonso;Nordeste;Itaparica;18ª COORPIN - PAULO AFONSO
290780;Interior;Cícero Dantas;5º BPM - Euclides da Cunha;Nordeste;Semiárido;25ª COORPIN - EUCLIDES DA CUNHA
290790;Interior;Cipó;21ª CIPM - Cipó;Nordeste;Semiárido;25ª COORPIN - EUCLIDES DA CUNHA
290800;Interior;Coaraci;15º BPM - Itabuna;Sul;Litoral Sul;6ª COORPIN - ITABUNA
290810;Interior;Cocos;30ª CIPM - Santa Maria da Vitória;Oeste;Bacia do Rio Corrente;26ª COORPIN - SANTA MARIA DA VITORIA
290820;Interior;Conceição Da Feira;67ª CIPM - Feira de Santana;Leste;Portal do Sertão;3ª COORPIN - SANTO AMARO
290830;Interior;Conceição Do Almeida;27ª CIPM - Cruz das Almas;Recôncavo;Recôncavo;4ª COORPIN - SANTO ANTONIO DE JESUS
290840;Interior;Conceição Do Coité;16º BPM - Serrinha;Nordeste;Sisal;15ª COORPIN - SERRINHA
290850;Interior;Conceição Do Jacuípe;97ª CIPM - Irará;Leste;Portal do Sertão;3ª COORPIN - SANTO AMARO
290860;Interior;Conde;51ª CIPM - Conde;Leste;Litoral Norte Agreste Baiano;2ª COORPIN - ALAGOINHAS
290870;Interior;Condeúba;80ª CIPM - Cândido Sales;Sudoeste;Sudoeste Baiano;10ª COORPIN - VITORIA DA CONQUISTA
290880;Interior;Contendas Do Sincorá;24º BPM - Brumado;Sudoeste;Sertão Produtivo;20ª COORPIN - BRUMADO
290890;Interior;Coração De Maria;97ª CIPM - Irará;Leste;Portal do Sertão;3ª COORPIN - SANTO AMARO
290900;Interior;Cordeiros;80ª CIPM - Cândido Sales;Sudoeste;Sudoeste Baiano;10ª COORPIN - VITORIA DA CONQUISTA
290910;Interior;Coribe;30ª CIPM - Santa Maria da Vitória;Oeste;Bacia do Rio Corrente;26ª COORPIN - SANTA MARIA DA VITORIA
290920;Interior;Coronel João Sá;20º BPM - Paulo Afonso;Nordeste;Itaparica;18ª COORPIN - PAULO AFONSO
290930;Interior;Correntina;30ª CIPM - Santa Maria da Vitória;Oeste;Bacia do Rio Corrente;26ª COORPIN - SANTA MARIA DA VITORIA
290940;Interior;Cotegipe;84ª CIPM - Barreiras;Oeste;Bacia do Rio Grande;11ª COORPIN - BARREIRAS
290950;Interior;Cravolândia;19º BPM - Jequié;Sudoeste;Médio Rio de Contas;9ª COORPIN - JEQUIE
290960;Interior;Crisópolis;6ª CIPM - Rio Real;Leste;Litoral Norte Agreste Baiano;2ª COORPIN - ALAGOINHAS
290970;Interior;Cristópolis;83ª CIPM - Barreiras;Oeste;Bacia do Rio Grande;11ª COORPIN - BARREIRAS
290980;Interior;Cruz Das Almas;27ª CIPM - Cruz das Almas;Recôncavo;Recôncavo;4ª COORPIN - SANTO ANTONIO DE JESUS
290990;Interior;Curaçá;45ª CIPM - Curaçá;Norte;Sertão do São Francisco;17ª COORPIN - JUAZEIRO
291000;Interior;Dário Meira;55ª CIPM - Ipiaú;Sudoeste;Médio Rio de Contas;9ª COORPIN - JEQUIE
291005;RMS;Dias D'Ávila;36ª CIPM - Dias D'Ávila;RMS;28 - Dias D’Ávila;25ª DT Dias D´ávila
291010;Interior;Dom Basílio;46ª CIPM - Livramento de Nossa Senhora;Sudoeste;Sertão Produtivo;20ª COORPIN - BRUMADO
291020;Interior;Dom Macêdo Costa;14º BPM - Santo Antônio de Jesus;Recôncavo;Recôncavo;4ª COORPIN - SANTO ANTONIO DE JESUS
291030;Interior;Elísio Medrado;99ª CIPM - Amargosa;Recôncavo;Vale do Jiquiriçá;4ª COORPIN - SANTO ANTONIO DE JESUS
291040;Interior;Encruzilhada;80ª CIPM - Cândido Sales;Sudoeste;Sudoeste Baiano;10ª COORPIN - VITORIA DA CONQUISTA
291050;Interior;Entre Rios;56ª CIPM - Entre Rios;Leste;Litoral Norte Agreste Baiano;2ª COORPIN - ALAGOINHAS
291060;Interior;Esplanada;56ª CIPM - Entre Rios;Leste;Litoral Norte Agreste Baiano;2ª COORPIN - ALAGOINHAS
291070;Interior;Euclides Da Cunha;5º BPM - Euclides da Cunha;Nordeste;Semiárido;25ª COORPIN - EUCLIDES DA CUNHA
291072;Interior;Eunápolis;7ª CIPM - Eunápolis;Extremo Sul;Costa do Descobrimento;23ª COORPIN - EUNAPOLIS
291075;Interior;Fátima;21ª CIPM - Cipó;Nordeste;Semiárido;25ª COORPIN - EUCLIDES DA CUNHA
291077;Interior;Feira Da Mata;38ª CIPM - Bom Jesus da Lapa;Meio-Oeste;Velho Chico;24ª COORPIN - BOM JESUS DA LAPA
291080;Interior;Feira De Santana;64ª CIPM, 65ª CIPM, 66ª CIPM e 67ª CIPM - Feira de Santana;Leste;Portal do Sertão;1ª COORPIN - FEIRA DE SANTANA
291085;Interior;Filadélfia;6º BPM - Senhor do Bonfim;Norte;Piemonte Norte do Itapicuru;19ª COORPIN - SENHOR DO BONFIM
291090;Interior;Firmino Alves;8ª CIPM - Itapetinga;Sul;Médio Sudoeste da Bahia;21ª COORPIN - ITAPETINGA
291100;Interior;Floresta Azul;63ª CIPM - Ibicaraí;Sul;Litoral Sul;6ª COORPIN - ITABUNA
291110;Interior;Formosa Do Rio Preto;86ª CIPM - Formosa do Rio Preto;Oeste;Bacia do Rio Grande;11ª COORPIN - BARREIRAS
291120;Interior;Gandú;60ª CIPM - Gandu;Recôncavo;Baixo Sul;5ª COORPIN - VALENÇA
291125;Interior;Gavião;91ª CIPM - Capim Grosso;Chapada;Bacia do Jacuípe;16ª COORPIN - JACOBINA
291130;Interior;Gentio Do Ouro;7º BPM - Irecê;Meio-Oeste;Irecê;14ª COORPIN - IRECE
291140;Interior;Glória;20º BPM - Paulo Afonso;Nordeste;Itaparica;18ª COORPIN - PAULO AFONSO
291150;Interior;Gongogi;55ª CIPM - Ipiaú;Sudoeste;Médio Rio de Contas;7ª COORPIN - ILHEUS
291160;Interior;Governador Mangabeira;27ª CIPM - Cruz das Almas;Recôncavo;Recôncavo;4ª COORPIN - SANTO ANTONIO DE JESUS
291165;Interior;Guajeru;79ª CIPM - Poções;Sudoeste;Sudoeste Baiano;20ª COORPIN - BRUMADO
291170;Interior;Guanambi;17º BPM - Guanambi;Sudoeste;Sertão Produtivo;22ª COORPIN - GUANAMBI
291180;Interior;Guaratinga;7ª CIPM - Eunápolis;Extremo Sul;Costa do Descobrimento;23ª COORPIN - EUNAPOLIS
291185;Interior;Heliópolis;21ª CIPM - Cipó;Nordeste;Semiárido;25ª COORPIN - EUCLIDES DA CUNHA
291190;Interior;Iaçu;11º BPM - Itaberaba;Chapada;Piemonte do Paraguaçu;12ª COORPIN - ITABERABA
291200;Interior;Ibiassucê;94ª CIPM - Caetité;Sudoeste;Sertão Produtivo;22ª COORPIN - GUANAMBI
291210;Interior;Ibicaraí;63ª CIPM - Ibicaraí;Sul;Litoral Sul;6ª COORPIN - ITABUNA
291220;Interior;Ibicoara;42ª CIPM - Lençóis;Chapada;Chapada Diamantina;20ª COORPIN - BRUMADO
291230;Interior;Ibicuí;8ª CIPM - Itapetinga;Sul;Médio Sudoeste da Bahia;21ª COORPIN - ITAPETINGA
291240;Interior;Ibipeba;7º BPM - Irecê;Meio-Oeste;Irecê;14ª COORPIN - IRECE
291250;Interior;Ibipitanga;4ª CIPM - Macaúbas;Meio-Oeste;Bacia do Paramirim;24ª COORPIN - BOM JESUS DA LAPA
291260;Interior;Ibiquera;11º BPM - Itaberaba;Chapada;Piemonte do Paraguaçu;12ª COORPIN - ITABERABA
291270;Interior;Ibirapitanga;60ª CIPM - Gandu;Recôncavo;Baixo Sul;7ª COORPIN - ILHEUS
291280;Interior;Ibirapuã;44ª CIPM - Medeiros Neto;Extremo Sul;Extremo Sul;8ª COORPIN - TEIXEIRA DE FREITAS
291290;Interior;Ibirataia;55ª CIPM - Ipiaú;Sudoeste;Médio Rio de Contas;9ª COORPIN - JEQUIE
291300;Interior;Ibitiara;29ª CIPM - Seabra;Chapada;Chapada Diamantina;13ª COORPIN - SEABRA
291310;Interior;Ibititá;7º BPM - Irecê;Meio-Oeste;Irecê;14ª COORPIN - IRECE
291320;Interior;Ibotirama;28ª CIPM - Ibotirama;Meio-Oeste;Velho Chico;24ª COORPIN - BOM JESUS DA LAPA
291330;Interior;Ichu;16º BPM - Serrinha;Nordeste;Sisal;15ª COORPIN - SERRINHA
291340;Interior;Igaporã;38ª CIPM - Bom Jesus da Lapa;Meio-Oeste;Velho Chico;22ª COORPIN - GUANAMBI
291345;Interior;Igrapiúna;33ª CIPM - Valença;Recôncavo;Baixo Sul;5ª COORPIN - VALENÇA
291350;Interior;Iguaí;8ª CIPM - Itapetinga;Sul;Médio Sudoeste da Bahia;21ª COORPIN - ITAPETINGA
291360;Interior;Ilhéus;68ª CIPM, 69ª CIPM e 70ª CIPM - Ilhéus;Sul;Litoral Sul;7ª COORPIN - ILHEUS
291370;Interior;Inhambupe;4º BPM - Alagoinhas;Leste;Litoral Norte Agreste Baiano;2ª COORPIN - ALAGOINHAS
291380;Interior;Ipecaetá;57ª CIPM - Santo Estevão;Leste;Portal do Sertão;1ª COORPIN - FEIRA DE SANTANA
291390;Interior;Ipiaú;55ª CIPM - Ipiaú;Sudoeste;Médio Rio de Contas;9ª COORPIN - JEQUIE
291400;Interior;Ipirá;98ª CIPM - Ipirá;Chapada;Bacia do Jacuípe;12ª COORPIN - ITABERABA
291410;Interior;Ipupiara;7º BPM - Irecê;Meio-Oeste;Irecê;13ª COORPIN - SEABRA
291420;Interior;Irajuba;93ª CIPM - Maracás;Recôncavo;Vale do Jiquiriçá;9ª COORPIN - JEQUIE
291430;Interior;Iramaia;42ª CIPM - Lençóis;Chapada;Chapada Diamantina;9ª COORPIN - JEQUIE
291440;Interior;Iraquara;29ª CIPM - Seabra;Chapada;Chapada Diamantina;13ª COORPIN - SEABRA
291450;Interior;Irará;97ª CIPM - Irará;Leste;Portal do Sertão;2ª COORPIN – ALAGOI-NHAS
291460;Interior;Irecê;7º BPM - Irecê;Meio-Oeste;Irecê;14ª COORPIN - IRECE
291465;Interior;Itabela;7ª CIPM - Eunápolis;Extremo Sul;Costa do Descobrimento;23ª COORPIN - EUNAPOLIS
291470;Interior;Itaberaba;11º BPM - Itaberaba;Chapada;Piemonte do Paraguaçu;12ª COORPIN - ITABERABA
291480;Interior;Itabuna;15º BPM - Itabuna;Sul;Litoral Sul;6ª COORPIN - ITABUNA
291490;Interior;Itacaré;72ª CIPM - Itacaré;Sul;Litoral Sul;7ª COORPIN - ILHEUS
291500;Interior;Itaeté;42ª CIPM - Lençóis;Chapada;Chapada Diamantina;12ª COORPIN - ITABERABA
291510;Interior;Itagi;19º BPM - Jequié;Sudoeste;Médio Rio de Contas;9ª COORPIN - JEQUIE
291520;Interior;Itagibá;55ª CIPM - Ipiaú;Sudoeste;Médio Rio de Contas;9ª COORPIN - JEQUIE
291530;Interior;Itagimirim;7ª CIPM - Eunápolis;Extremo Sul;Costa do Descobrimento;23ª COORPIN - EUNAPOLIS
291535;Interior;Itaguaçu Da Bahia;7º BPM - Irecê;Meio-Oeste;Irecê;14ª COORPIN - IRECE
291540;Interior;Itaju Do Colônia;63ª CIPM - Ibicaraí;Sul;Litoral Sul;6ª COORPIN - ITABUNA
291550;Interior;Itajuípe;15º BPM - Itabuna;Sul;Litoral Sul;6ª COORPIN - ITABUNA
291560;Interior;Itamaraju;43ª CIPM - Itamaraju;Extremo Sul;Extremo Sul;8ª COORPIN - TEIXEIRA DE FREITAS
291570;Interior;Itamari;19º BPM - Jequié;Sudoeste;Médio Rio de Contas;5ª COORPIN - VALENÇA
291580;Interior;Itambé;8ª CIPM - Itapetinga;Sul;Médio Sudoeste da Bahia;21ª COORPIN - ITAPETINGA
291590;Interior;Itanagra;4º BPM - Alagoinhas;Leste;Litoral Norte Agreste Baiano;2ª COORPIN - ALAGOINHAS
291600;Interior;Itanhém;44ª CIPM - Medeiros Neto;Extremo Sul;Extremo Sul;8ª COORPIN - TEIXEIRA DE FREITAS
291610;RMS;Itaparica;23º BPM - Vera Cruz;Recôncavo;Recôncavo;DEPOM - 19ª DT Itaparica
291620;Interior;Itapé;63ª CIPM - Ibicaraí;Sul;Litoral Sul;6ª COORPIN - ITABUNA
291630;Interior;Itapebi;7ª CIPM - Eunápolis;Extremo Sul;Costa do Descobrimento;23ª COORPIN - EUNAPOLIS
291640;Interior;Itapetinga;8ª CIPM - Itapetinga;Sul;Médio Sudoeste da Bahia;21ª COORPIN - ITAPETINGA
291650;Interior;Itapicuru;6ª CIPM - Rio Real;Leste;Litoral Norte Agreste Baiano;2ª COORPIN - ALAGOINHAS
291660;Interior;Itapitanga;61ª CIPM - Ubaitaba;Sul;Litoral Sul;6ª COORPIN - ITABUNA
291670;Interior;Itaquara;19º BPM - Jequié;Sudoeste;Médio Rio de Contas;9ª COORPIN - JEQUIE
291680;Interior;Itarantim;8ª CIPM - Itapetinga;Sul;Médio Sudoeste da Bahia;21ª COORPIN - ITAPETINGA
291685;Interior;Itatim;11º BPM - Itaberaba;Chapada;Piemonte do Paraguaçu;12ª COORPIN - ITABERABA
291690;Interior;Itiruçu;93ª CIPM - Maracás;Recôncavo;Vale do Jiquiriçá;9ª COORPIN - JEQUIE
291700;Interior;Itiúba;16º BPM - Serrinha;Nordeste;Sisal;19ª COORPIN - SENHOR DO BONFIM
291710;Interior;Itororó;8ª CIPM - Itapetinga;Sul;Médio Sudoeste da Bahia;21ª COORPIN - ITAPETINGA
291720;Interior;Ituaçu;24º BPM - Brumado;Sudoeste;Sertão Produtivo;20ª COORPIN - BRUMADO
291730;Interior;Ituberá;33ª CIPM - Valença;Recôncavo;Baixo Sul;5ª COORPIN - VALENÇA
291733;Interior;Iuiú;17º BPM - Guanambi;Sudoeste;Sertão Produtivo;22ª COORPIN - GUANAMBI
291735;Interior;Jaborandi;30ª CIPM - Santa Maria da Vitória;Oeste;Bacia do Rio Corrente;26ª COORPIN - SANTA MARIA DA VITORIA
291740;Interior;Jacaraci;94ª CIPM - Caetité;Sudoeste;Sertão Produtivo;22ª COORPIN - GUANAMBI
291750;Interior;Jacobina;24ª CIPM - Jacobina;Chapada;Piemonte da Diamantina;16ª COORPIN - JACOBINA
291760;Interior;Jaguaquara;19º BPM - Jequié;Sudoeste;Médio Rio de Contas;9ª COORPIN - JEQUIE
291770;Interior;Jaguarari;6º BPM - Senhor do Bonfim;Norte;Piemonte Norte do Itapicuru;19ª COORPIN - SENHOR DO BONFIM
291780;Interior;Jaguaripe;33ª CIPM - Valença;Recôncavo;Baixo Sul;4ª COORPIN - SANTO ANTONIO DE JESUS
291790;Interior;Jandaíra;6ª CIPM - Rio Real;Leste;Litoral Norte Agreste Baiano;2ª COORPIN - ALAGOINHAS
291800;Interior;Jequié;19º BPM - Jequié;Sudoeste;Médio Rio de Contas;9ª COORPIN - JEQUIE
291810;Interior;Jeremoabo;20º BPM - Paulo Afonso;Nordeste;Itaparica;18ª COORPIN - PAULO AFONSO
291820;Interior;Jiquiriçá;99ª CIPM - Amargosa;Recôncavo;Vale do Jiquiriçá;4ª COORPIN - SANTO ANTONIO DE JESUS
291830;Interior;Jitaúna;19º BPM - Jequié;Sudoeste;Médio Rio de Contas;9ª COORPIN - JEQUIE
291835;Interior;João Dourado;7º BPM - Irecê;Meio-Oeste;Irecê;14ª COORPIN - IRECE
291840;Interior;Juazeiro;73ª CIPM, 74ª CIPM, 75ª CIPM e 76ª CIPM - Juazeiro;Norte;Sertão do São Francisco;17ª COORPIN - JUAZEIRO
291845;Interior;Jucuruçu;43ª CIPM - Itamaraju;Extremo Sul;Extremo Sul;8ª COORPIN - TEIXEIRA DE FREITAS
291850;Interior;Jussara;7º BPM - Irecê;Meio-Oeste;Irecê;14ª COORPIN - IRECE
291855;Interior;Jussari;62ª CIPM - Camacan;Sul;Litoral Sul;6ª COORPIN - ITABUNA
291860;Interior;Jussiape;29ª CIPM - Seabra;Chapada;Chapada Diamantina;20ª COORPIN - BRUMADO
291870;Interior;Lafaiete Coutinho;93ª CIPM - Maracás;Recôncavo;Vale do Jiquiriçá;9ª COORPIN - JEQUIE
291875;Interior;Lagoa Real;94ª CIPM - Caetité;Sudoeste;Sertão Produtivo;22ª COORPIN - GUANAMBI
291880;Interior;Laje;14º BPM - Santo Antônio de Jesus;Recôncavo;Recôncavo;4ª COORPIN - SANTO ANTONIO DE JESUS
291890;Interior;Lajedão;44ª CIPM - Medeiros Neto;Extremo Sul;Extremo Sul;8ª COORPIN - TEIXEIRA DE FREITAS
291900;Interior;Lajedinho;11º BPM - Itaberaba;Chapada;Piemonte do Paraguaçu;12ª COORPIN - ITABERABA
291905;Interior;Lajedo Do Tabocal;93ª CIPM - Maracás;Recôncavo;Vale do Jiquiriçá;9ª COORPIN - JEQUIE
291910;Interior;Lamarão;16º BPM - Serrinha;Nordeste;Sisal;15ª COORPIN - SERRINHA
291915;Interior;Lapão;7º BPM - Irecê;Meio-Oeste;Irecê;14ª COORPIN - IRECE
291920;RMS;Lauro De Freitas;52ª CIPM - Lauro de Freitas;RMS;23 - Lauro de Freitas;23ª DT Lauro de Freitas
291930;Interior;Lençóis;42ª CIPM - Lençóis;Chapada;Chapada Diamantina;13ª COORPIN - SEABRA
291940;Interior;Licínio De Almeida;94ª CIPM - Caetité;Sudoeste;Sertão Produtivo;22ª COORPIN - GUANAMBI
